Group1,CWAP,,,,,,,
BINS,,,,,,,,
WaferType,QtyNeeded,FeasibleClasses,,,,,,
85,2077572,20,23,,,,,
85,829797,20,23,,,,,
85,2543397,21,22,,,,,
85,3789474,20,21,22,,,,
85,1026972,21,22,,,,,
85,2068212,20,23,,,,,
85,4201245,21,,,,,,
WAFERS,,,,,,,,
WaferType,ID,QtyTotal,Qty20,Qty21,Qty22,Qty23,Qty24,Qty25
85,QNY4W46,534951,0,0,0,534951,0,0
85,QCK1W06,540078,0,0,0,540078,0,0
85,YDK1W10,539682,0,0,0,539682,0,0
85,EHK1W14,539151,0,0,0,539151,0,0
85,DZK1W15,539442,0,0,1788,537654,0,0
85,MTK1W17,539958,0,0,0,538167,1791,0
85,GBK1W19,540087,0,0,0,538293,1794,0
85,KBK1W21,539322,0,0,0,537510,1812,0
85,JKK2W06,540051,0,420600,0,0,119451,0
85,AGK2W07,540216,0,449439,0,0,90777,0
85,ZQK2W18,540264,0,445362,0,0,94902,0
85,CDK2W26,540252,0,436089,0,0,104163,0
85,EAK2W27,539991,0,427671,0,0,112320,0
85,UOK2W28,540246,0,437682,0,0,102564,0
85,EOK2W34,538527,0,419775,0,0,118752,0
85,SEK2W36,538923,0,407706,0,0,131217,0
85,BBK2W38,539001,0,428442,0,0,110559,0
85,XGK2W44,539262,0,415443,0,0,123819,0
85,RPK2W45,540231,0,425100,0,0,115131,0
85,PJK2W46,540240,0,416145,0,0,124095,0
85,QVK2W48,540240,0,415329,0,0,124911,0
85,NNK2W50,540147,0,388377,0,0,151770,0
85,BD6VW01,532788,0,0,0,532788,0,0
85,LQ6VW09,537675,0,0,0,537675,0,0
85,SS6VW25,539940,0,0,0,539940,0,0
85,CX6VW26,536619,0,0,0,535332,1287,0
85,TV6VW28,540006,0,0,0,539109,897,0
85,SZ6VW34,525282,0,0,0,524151,1131,0
85,LM6VW35,532503,0,0,0,532503,0,0
85,XY6VW36,537972,0,0,0,537972,0,0
85,JP6VW37,534612,0,0,0,534612,0,0
85,CP6VW38,539205,0,0,0,539205,0,0
85,HI0XW35,540216,0,18753,521463,0,0,0
85,RF0XW38,540117,0,162555,377562,0,0,0
85,DERYW28,536454,0,0,0,536454,0,0
85,JURYW29,537321,0,0,0,537321,0,0
85,VRRYW30,530418,0,0,0,530418,0,0
85,PERYW31,533745,0,0,0,533745,0,0
85,DORYW32,521061,1794,0,0,519267,0,0
85,CBRYW33,539280,193218,0,0,346062,0,0
85,ODRYW35,538938,141486,7170,0,388011,2271,0
85,WLRYW36,531750,12546,7176,0,506838,5190,0
85,MURYW37,540120,102042,0,0,438078,0,0
85,KFRYW38,537225,0,0,0,537225,0,0
85,IYRYW39,540096,0,0,0,540096,0,0
85,UFRYW40,531303,0,0,0,531303,0,0
85,RRRYW41,535002,0,0,0,535002,0,0
85,ABRYW42,534828,0,0,0,534828,0,0
85,SYRYW43,538605,0,0,0,538605,0,0
85,FTRYW44,535557,0,0,0,535557,0,0
85,LGRYW45,537735,0,0,0,537735,0,0
85,NNRYW46,537345,0,0,0,537345,0,0
85,JIRYW47,540036,0,0,0,540036,0,0
85,CCRYW48,536880,0,0,0,536880,0,0
85,GORYW49,535626,0,0,0,535626,0,0
85,VWRYW50,535887,0,0,0,527403,8484,0
85,KWYLW01,538608,0,12792,525816,0,0,0
85,JFYLW02,540297,0,0,540297,0,0,0
85,TRYLW05,536736,0,0,536736,0,0,0
85,CNYLW09,540243,0,0,540243,0,0,0
85,YMYLW18,535266,0,209775,325491,0,0,0
85,WEYLW19,540210,0,133167,407043,0,0,0
85,JEYLW20,540195,0,127692,412503,0,0,0
85,DEYLW21,540219,0,7434,532785,0,0,0
85,QOYLW22,540135,0,65016,475119,0,0,0
85,LEYLW23,535656,0,22611,513045,0,0,0
85,IJYLW24,503391,0,430557,72660,0,0,174
85,PIYLW28,538428,0,0,538428,0,0,0
85,QIYLW29,540252,0,0,540252,0,0,0
85,BEYLW35,538554,0,42066,496488,0,0,0
85,SHYLW36,540264,0,12297,527967,0,0,0
85,ZTYLW37,540282,0,0,540282,0,0,0
85,CYYLW38,540267,0,2838,537429,0,0,0
85,UUYLW42,540273,0,0,540273,0,0,0
85,IUYLW50,540249,0,0,540249,0,0,0
85,IBFTW33,539550,0,402144,0,0,137406,0
85,VSFTW37,537834,0,411153,0,0,126681,0
85,UZFTW38,536376,0,367593,0,0,168783,0
85,JIFTW39,540255,0,441549,0,0,98706,0
85,EFFTW40,540252,0,400347,0,0,139905,0
85,EXFTW43,540225,0,441195,0,0,99030,0
85,MRFTW46,540216,0,436728,0,0,103488,0
85,DRFTW47,540234,0,427935,0,0,112299,0
85,OA5CW01,540249,0,48972,491277,0,0,0
85,GA5CW02,540216,0,339498,200718,0,0,0
85,PK5CW03,540213,0,87765,452448,0,0,0
85,PY5CW04,540180,0,441153,99027,0,0,0
85,UQ5CW05,539397,0,110415,428982,0,0,0
85,MD5CW09,540141,0,0,528513,0,0,11628
85,BL5CW11,540180,0,0,533103,0,0,7077
85,JI5CW12,540246,0,0,532242,0,0,8004
85,VW5CW13,540255,0,0,531624,0,0,8631
85,GJ5CW14,540276,0,0,531642,0,0,8634
85,IP5CW15,540255,0,0,533916,0,2238,4101
85,OQ5CW16,540210,0,0,532272,0,1131,6807
85,YH5CW17,540249,0,15654,516657,0,7938,0
85,EW5CW18,538389,0,10152,524811,0,3426,0
85,ZU5CW19,540246,0,67053,461628,0,10302,1263
85,VH5CW20,540273,0,37224,489495,0,7509,6045
85,PL5CW21,540258,0,118911,400731,0,19701,915
85,JU5CW22,540303,0,48432,470706,0,13521,7644
85,OH5CW23,540222,0,154602,348912,0,36708,0
85,FX5CW24,540264,0,35217,473562,0,22299,9186
85,MX5CW25,540159,0,251256,270804,0,18099,0
