Group1,CWAP,,,,,,,
BINS,,,,,,,,
WaferType,QtyNeeded,FeasibleClasses,,,,,,
64,839115,20,23,,,,,
64,1913496,20,21,22,,,,
64,2022822,21,24,,,,,
64,2072616,20,21,22,23,24,25,
64,1057368,21,22,,,,,
WAFERS,,,,,,,,
WaferType,ID,QtyTotal,Qty20,Qty21,Qty22,Qty23,Qty24,Qty25
64,KQY3W05,510084,0,0,0,510084,0,0
64,THY4W46,534951,0,0,0,534951,0,0
64,CNK1W06,540078,0,0,0,540078,0,0
64,GMK1W10,539682,0,0,0,539682,0,0
64,PMK1W13,540126,0,0,0,540126,0,0
64,JJK1W14,539151,0,0,0,539151,0,0
64,NUK1W15,539442,0,0,1788,537654,0,0
64,KOK1W16,540282,0,0,0,540282,0,0
64,IZK1W17,539958,0,0,0,538167,1791,0
64,HNK1W19,540087,0,0,0,538293,1794,0
64,ORK1W20,540036,0,0,0,538431,1605,0
64,VYK1W21,539322,0,0,0,537510,1812,0
64,NQK2W05,538080,0,432537,0,0,105543,0
64,VVK2W06,540051,0,420600,0,0,119451,0
64,FHK2W07,540216,0,449439,0,0,90777,0
64,ROK2W08,540258,0,425610,0,0,114648,0
64,JJK2W14,540222,0,433341,0,0,106881,0
64,FZK2W18,540264,0,445362,0,0,94902,0
64,KCK2W23,540285,0,417168,0,0,123117,0
64,TJK2W26,540252,0,436089,0,0,104163,0
64,TWK2W27,539991,0,427671,0,0,112320,0
64,GVK2W28,540246,0,437682,0,0,102564,0
64,UZK2W31,540258,0,428706,0,0,111552,0
64,HEK2W34,538527,0,419775,0,0,118752,0
64,KHK2W36,538923,0,407706,0,0,131217,0
64,GIK2W38,539001,0,428442,0,0,110559,0
64,UWK2W39,540165,0,390195,0,0,149970,0
64,RSK2W41,540228,0,377886,0,0,162342,0
64,UUK2W42,540213,0,411243,0,0,128970,0
64,TMK2W44,539262,0,415443,0,0,123819,0
64,SLK2W45,540231,0,425100,0,0,115131,0
64,HHK2W46,540240,0,416145,0,0,124095,0
64,VVK2W48,540240,0,415329,0,0,124911,0
64,ADK2W50,540147,0,388377,0,0,151770,0
64,OL6VW01,532788,0,0,0,532788,0,0
64,EG6VW03,537156,0,0,0,535434,1722,0
64,FY6VW09,537675,0,0,0,537675,0,0
64,TS6VW24,537798,0,0,0,534291,3507,0
64,LZ6VW25,539940,0,0,0,539940,0,0
64,EO6VW26,536619,0,0,0,535332,1287,0
64,IQ6VW28,540006,0,0,0,539109,897,0
64,LX6VW30,539880,0,0,0,539880,0,0
64,BI6VW34,525282,0,0,0,524151,1131,0
64,TM6VW35,532503,0,0,0,532503,0,0
64,RM6VW36,537972,0,0,0,537972,0,0
64,EQ6VW37,534612,0,0,0,534612,0,0
64,IG6VW38,539205,0,0,0,539205,0,0
64,RI0XW35,540216,0,18753,521463,0,0,0
64,PY0XW36,540039,0,65943,474096,0,0,0
64,AZ0XW37,529824,0,12675,517149,0,0,0
64,YD0XW38,540117,0,162555,377562,0,0,0
64,PYRYW26,537144,0,0,0,537144,0,0
64,DZRYW27,537867,0,0,0,537867,0,0
64,CWRYW28,536454,0,0,0,536454,0,0
64,DZRYW29,537321,0,0,0,537321,0,0
64,HVRYW30,530418,0,0,0,530418,0,0
64,PFRYW31,533745,0,0,0,533745,0,0
64,DBRYW32,521061,1794,0,0,519267,0,0
64,ZJRYW33,539280,193218,0,0,346062,0,0
64,GMRYW35,538938,141486,7170,0,388011,2271,0
64,CNRYW36,531750,12546,7176,0,506838,5190,0
64,MBRYW37,540120,102042,0,0,438078,0,0
64,GNRYW38,537225,0,0,0,537225,0,0
64,YYRYW39,540096,0,0,0,540096,0,0
64,GKRYW40,531303,0,0,0,531303,0,0
64,CMRYW41,535002,0,0,0,535002,0,0
64,YFRYW42,534828,0,0,0,534828,0,0
64,PFRYW43,538605,0,0,0,538605,0,0
64,BMRYW44,535557,0,0,0,535557,0,0
64,UBRYW45,537735,0,0,0,537735,0,0
64,GWRYW46,537345,0,0,0,537345,0,0
64,JSRYW47,540036,0,0,0,540036,0,0
64,FJRYW48,536880,0,0,0,536880,0,0
64,ACRYW49,535626,0,0,0,535626,0,0
64,DQRYW50,535887,0,0,0,527403,8484,0
64,IFYLW01,538608,0,12792,525816,0,0,0
64,SOYLW02,540297,0,0,540297,0,0,0
64,WLYLW05,536736,0,0,536736,0,0,0
64,RNYLW09,540243,0,0,540243,0,0,0
64,SPYLW18,535266,0,209775,325491,0,0,0
64,BDYLW19,540210,0,133167,407043,0,0,0
64,PSYLW20,540195,0,127692,412503,0,0,0
64,WUYLW21,540219,0,7434,532785,0,0,0
64,WKYLW22,540135,0,65016,475119,0,0,0
64,QXYLW23,535656,0,22611,513045,0,0,0
64,ZNYLW24,503391,0,430557,72660,0,0,174
64,PFYLW28,538428,0,0,538428,0,0,0
64,GFYLW29,540252,0,0,540252,0,0,0
64,DTYLW35,538554,0,42066,496488,0,0,0
64,VXYLW36,540264,0,12297,527967,0,0,0
64,NVYLW37,540282,0,0,540282,0,0,0
