Group1,CWAP,,,,,,,
BINS,,,,,,,,
WaferType,QtyNeeded,FeasibleClasses,,,,,,
64,715767,20,23,,,,,
64,1495554,21,22,,,,,
64,840249,21,,,,,,
WAFERS,,,,,,,,
WaferType,ID,QtyTotal,Qty20,Qty21,Qty22,Qty23,Qty24,Qty25
64,YUY3W05,510084,0,0,0,510084,0,0
64,GMY3W08,535734,8952,0,0,526782,0,0
64,KLY3W21,539907,0,0,0,538200,1707,0
64,ESY4W46,534951,0,0,0,534951,0,0
64,RQK1W06,540078,0,0,0,540078,0,0
64,CQK1W10,539682,0,0,0,539682,0,0
64,GGK1W13,540126,0,0,0,540126,0,0
64,KUK1W14,539151,0,0,0,539151,0,0
64,KAK1W15,539442,0,0,1788,537654,0,0
64,LLK1W16,540282,0,0,0,540282,0,0
64,GZK1W17,539958,0,0,0,538167,1791,0
64,EPK1W19,540087,0,0,0,538293,1794,0
64,PHK1W20,540036,0,0,0,538431,1605,0
64,KAK1W21,539322,0,0,0,537510,1812,0
64,AJK1W23,540021,0,0,0,540021,0,0
64,MNK1W24,540144,0,0,0,540144,0,0
64,XXK2W05,538080,0,432537,0,0,105543,0
64,QLK2W06,540051,0,420600,0,0,119451,0
64,ZXK2W07,540216,0,449439,0,0,90777,0
64,UGK2W08,540258,0,425610,0,0,114648,0
64,PHK2W14,540222,0,433341,0,0,106881,0
64,GBK2W18,540264,0,445362,0,0,94902,0
64,ELK2W23,540285,0,417168,0,0,123117,0
64,LDK2W26,540252,0,436089,0,0,104163,0
64,ZLK2W27,539991,0,427671,0,0,112320,0
64,ADK2W28,540246,0,437682,0,0,102564,0
64,CBK2W31,540258,0,428706,0,0,111552,0
64,XZK2W32,535431,0,422640,0,0,112791,0
64,QQK2W34,538527,0,419775,0,0,118752,0
64,XDK2W36,538923,0,407706,0,0,131217,0
64,BEK2W38,539001,0,428442,0,0,110559,0
64,RHK2W39,540165,0,390195,0,0,149970,0
64,DOK2W41,540228,0,377886,0,0,162342,0
64,TJK2W42,540213,0,411243,0,0,128970,0
64,QZK2W44,539262,0,415443,0,0,123819,0
64,UNK2W45,540231,0,425100,0,0,115131,0
64,FFK2W46,540240,0,416145,0,0,124095,0
64,VZK2W48,540240,0,415329,0,0,124911,0
64,TDK2W50,540147,0,388377,0,0,151770,0
64,KD6VW01,532788,0,0,0,532788,0,0
64,VG6VW03,537156,0,0,0,535434,1722,0
64,AO6VW07,540081,0,0,0,540081,0,0
64,JJ6VW09,537675,0,0,0,537675,0,0
64,KV6VW10,536451,0,0,0,536451,0,0
64,ZQ6VW11,536754,0,0,0,536754,0,0
64,UJ6VW24,537798,0,0,0,534291,3507,0
64,ZR6VW25,539940,0,0,0,539940,0,0
64,EL6VW26,536619,0,0,0,535332,1287,0
64,PY6VW27,539973,0,0,0,539973,0,0
64,XP6VW28,540006,0,0,0,539109,897,0
64,RB6VW29,539868,0,0,0,539868,0,0
64,NA6VW30,539880,0,0,0,539880,0,0
64,RM6VW31,535416,0,0,0,535416,0,0
64,XX6VW32,538038,0,0,0,538038,0,0
64,GY6VW33,539028,0,0,0,539028,0,0
64,GN6VW34,525282,0,0,0,524151,1131,0
64,FT6VW35,532503,0,0,0,532503,0,0
64,HU6VW36,537972,0,0,0,537972,0,0
64,DC6VW37,534612,0,0,0,534612,0,0
64,YU6VW38,539205,0,0,0,539205,0,0
64,DX0XW35,540216,0,18753,521463,0,0,0
64,KZ0XW36,540039,0,65943,474096,0,0,0
64,EL0XW37,529824,0,12675,517149,0,0,0
64,NO0XW38,540117,0,162555,377562,0,0,0
64,AJRYW26,537144,0,0,0,537144,0,0
64,JURYW27,537867,0,0,0,537867,0,0
64,FURYW28,536454,0,0,0,536454,0,0
64,LTRYW29,537321,0,0,0,537321,0,0
64,TARYW30,530418,0,0,0,530418,0,0
64,XWRYW31,533745,0,0,0,533745,0,0
64,MNRYW32,521061,1794,0,0,519267,0,0
64,PBRYW33,539280,193218,0,0,346062,0,0
64,KGRYW35,538938,141486,7170,0,388011,2271,0
64,EFRYW36,531750,12546,7176,0,506838,5190,0
64,JJRYW37,540120,102042,0,0,438078,0,0
64,IMRYW38,537225,0,0,0,537225,0,0
64,ZDRYW39,540096,0,0,0,540096,0,0
64,MTRYW40,531303,0,0,0,531303,0,0
64,RNRYW41,535002,0,0,0,535002,0,0
64,VFRYW42,534828,0,0,0,534828,0,0
64,ZJRYW43,538605,0,0,0,538605,0,0
64,WWRYW44,535557,0,0,0,535557,0,0
64,OLRYW45,537735,0,0,0,537735,0,0
64,IKRYW46,537345,0,0,0,537345,0,0
64,IORYW47,540036,0,0,0,540036,0,0
64,BCRYW48,536880,0,0,0,536880,0,0
64,FBRYW49,535626,0,0,0,535626,0,0
64,HQRYW50,535887,0,0,0,527403,8484,0
64,IIYLW01,538608,0,12792,525816,0,0,0
64,OYYLW02,540297,0,0,540297,0,0,0
64,GIYLW05,536736,0,0,536736,0,0,0
64,EQYLW09,540243,0,0,540243,0,0,0
64,BXYLW18,535266,0,209775,325491,0,0,0
64,VCYLW19,540210,0,133167,407043,0,0,0
64,IRYLW20,540195,0,127692,412503,0,0,0
64,BFYLW21,540219,0,7434,532785,0,0,0
64,FSYLW22,540135,0,65016,475119,0,0,0
64,XDYLW23,535656,0,22611,513045,0,0,0
64,QTYLW24,503391,0,430557,72660,0,0,174
64,MZYLW28,538428,0,0,538428,0,0,0
64,YTYLW29,540252,0,0,540252,0,0,0
64,XVYLW35,538554,0,42066,496488,0,0,0
64,IFYLW36,540264,0,12297,527967,0,0,0
64,HXYLW37,540282,0,0,540282,0,0,0
64,VVYLW38,540267,0,2838,537429,0,0,0
64,LJYLW42,540273,0,0,540273,0,0,0
64,YXYLW50,540249,0,0,540249,0,0,0
64,YQFTW33,539550,0,402144,0,0,137406,0
64,EGFTW37,537834,0,411153,0,0,126681,0
64,VRFTW38,536376,0,367593,0,0,168783,0
64,PGFTW39,540255,0,441549,0,0,98706,0
64,BQFTW40,540252,0,400347,0,0,139905,0
64,MVFTW43,540225,0,441195,0,0,99030,0
64,WMFTW46,540216,0,436728,0,0,103488,0
64,EEFTW47,540234,0,427935,0,0,112299,0
64,ZP5CW01,540249,0,48972,491277,0,0,0
64,VP5CW02,540216,0,339498,200718,0,0,0
64,ZM5CW03,540213,0,87765,452448,0,0,0
64,KJ5CW04,540180,0,441153,99027,0,0,0
64,IV5CW05,539397,0,110415,428982,0,0,0
64,PX5CW09,540141,0,0,528513,0,0,11628
64,GN5CW11,540180,0,0,533103,0,0,7077
64,GS5CW12,540246,0,0,532242,0,0,8004
64,GI5CW13,540255,0,0,531624,0,0,8631
64,TG5CW14,540276,0,0,531642,0,0,8634
64,YK5CW15,540255,0,0,533916,0,2238,4101
64,YV5CW16,540210,0,0,532272,0,1131,6807
64,JS5CW17,540249,0,15654,516657,0,7938,0
64,SH5CW18,538389,0,10152,524811,0,3426,0
64,IM5CW19,540246,0,67053,461628,0,10302,1263
64,JU5CW20,540273,0,37224,489495,0,7509,6045
64,TR5CW21,540258,0,118911,400731,0,19701,915
64,WW5CW22,540303,0,48432,470706,0,13521,7644
64,NJ5CW23,540222,0,154602,348912,0,36708,0
64,XL5CW24,540264,0,35217,473562,0,22299,9186
64,GU5CW25,540159,0,251256,270804,0,18099,0
64,XZ6LW26,539430,0,448509,48540,0,42381,0
64,BS6LW27,540189,0,449865,34080,0,56244,0
64,ZO6LW28,540093,0,430308,74346,0,33414,2025
64,JU6LW29,540234,0,454524,30489,0,55221,0
64,PO6LW30,540147,0,438549,63051,0,38547,0
64,TY6LW31,540090,0,444150,8970,0,84780,2190
64,FO6LW32,540123,0,466998,36720,0,36405,0
64,RZ6LW33,540183,0,413601,60366,0,63528,2688
64,FG6LW34,538764,0,418749,82875,0,37140,0
64,UD6LW35,540075,0,406635,83430,0,46812,3198
64,BW6LW36,539058,0,466251,37656,0,35151,0
64,MV6LW37,540171,0,434793,63582,0,41796,0
64,DP6LW39,540174,0,432684,72498,0,34992,0
64,QK6LW40,540255,0,445206,63438,0,30009,1602
64,EW6LW44,540192,0,401670,128751,0,9771,0
64,LH6LW45,538770,0,423972,82290,0,32508,0
64,AE6LW46,540063,0,384315,83730,0,66249,5769
64,NY6LW47,534153,0,363168,37533,0,131214,2238
64,UR6LW48,540252,0,413094,65565,0,54768,6825
64,SE6LW49,540147,0,417222,10569,0,108576,3780
64,XO6LW50,540138,0,448569,46632,0,44937,0
64,WV29W01,537009,0,282519,0,0,254490,0
64,AV29W03,536589,0,289809,0,0,246780,0
64,LH29W04,536496,0,336516,0,0,199980,0
64,EN29W07,537585,0,318666,0,0,218919,0
64,EQ29W16,535602,0,391107,0,0,144495,0
64,RD29W18,521112,0,24906,0,0,496206,0
64,TB29W21,534273,0,104490,0,0,429783,0
64,NF29W24,536514,0,366900,0,0,169614,0
64,OK29W25,540174,0,385047,0,0,155127,0
64,XZ0JW01,534441,0,120621,408690,0,5130,0
64,QS0JW02,534558,0,258363,273546,0,2649,0
64,CM0JW03,535713,0,53850,481863,0,0,0
64,YB0JW04,538980,0,105318,433662,0,0,0
64,BS0JW05,538605,0,38826,499779,0,0,0
64,FO0JW06,539004,0,58365,480639,0,0,0
64,OP0JW07,539640,0,17184,522456,0,0,0
64,FN0JW08,540234,0,29847,510387,0,0,0
64,ZR0JW09,540078,0,6141,533937,0,0,0
64,VI0JW11,540120,36,17553,522531,0,0,0
64,DI0JW12,536721,0,17442,519279,0,0,0
64,FQ0JW13,533376,0,0,533376,0,0,0
64,SU0JW14,540051,0,9921,530130,0,0,0
64,PW0JW16,535641,0,7917,526809,0,0,915
64,KL0JW17,539988,0,526170,0,0,13818,0
64,LO0JW18,533511,0,515709,0,0,17802,0
64,CI0JW19,540126,0,528321,0,0,11805,0
64,HY0JW20,537123,0,525702,1794,0,9627,0
64,YE0JW21,539364,0,537570,1794,0,0,0
64,SO0JW22,537783,0,360309,176559,0,915,0
64,XK0JW23,540087,0,504405,35682,0,0,0
64,GL0JW24,540147,0,174723,365424,0,0,0
64,IQ0JW25,538674,0,329214,209460,0,0,0
64,CB0JW26,540120,0,80097,460023,0,0,0
64,YG0JW27,538269,0,0,538269,0,0,0
64,CW0JW28,540171,0,41763,498408,0,0,0
64,KG0JW30,539277,0,27624,511653,0,0,0
64,GO0JW32,538422,0,13029,522744,0,0,2649
64,TZ0JW33,540081,0,0,530454,0,0,9627
64,AI0JW34,540048,0,519012,0,0,21036,0
64,WB0JW35,540048,0,526221,0,0,13827,0
64,QP0JW36,540042,0,539139,0,0,903,0
64,HQ0JW37,539970,0,533013,0,0,6957,0
64,MF0JW38,540048,0,312357,227691,0,0,0
64,IG0JW39,540150,0,301044,239106,0,0,0
64,PU0JW40,540090,0,155826,384264,0,0,0
64,ZH0JW41,540135,0,117354,421674,0,1107,0
64,LT0JW42,539805,0,62436,476298,0,0,1071
64,CT0JW43,540168,0,88788,449292,0,2088,0
64,IB0JW44,540144,0,28269,511875,0,0,0
64,SN0JW45,540111,0,75609,464502,0,0,0
64,YE0JW46,540126,0,3753,530376,0,0,5997
64,IO0JW47,540096,0,53097,486999,0,0,0
64,EW0JW48,540129,0,2025,538104,0,0,0
64,BS0JW49,540120,0,37740,502380,0,0,0
64,EY0JW50,534597,0,7641,526956,0,0,0
64,EJPKW01,540102,0,1074,539028,0,0,0
64,RVPKW02,540171,0,0,540171,0,0,0
64,TQPKW03,540135,0,2826,535758,0,0,1551
64,ERPKW04,540141,0,0,540141,0,0,0
64,EWPKW05,540132,0,6918,533214,0,0,0
64,TRPKW06,537135,0,0,537135,0,0,0
64,RHPKW07,537993,0,11814,526179,0,0,0
64,WDPKW08,540051,0,0,540051,0,0,0
64,UNPKW09,540096,0,23331,516765,0,0,0
64,MAPKW10,540045,0,0,540045,0,0,0
